 written on  7Apr2026 at 10:55:14 
   2.4600000000000000        0.0000000000000000        0.0000000000000000     
  -1.2300000000000000        2.1304224933000002        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        20.000000000000000     
           8
          83
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    2    1    1

   -5   -3    0
    6    7   -0.19521682E-09  0.10826399E-10
    7    7    0.44584499E-03 -0.13871715E-10
    8    7   -0.58602181E-03  0.12758589E-10
    1    8    0.69727733E-04  0.90758859E-11
    2    8   -0.89305857E-12  0.58049966E-11
    3    8    0.15980924E-03  0.64239170E-11
    4    8   -0.21724976E-03 -0.77619022E-11
    5    8    0.10320103E-03  0.59174714E-12
    6    8    0.43638343E-10  0.35776671E-11
    7    8    0.65939737E-03  0.38545764E-11
    8    8    0.50487542E-03 -0.16420888E-11

   -4   -4    0
    1    1    0.50301983E-03 -0.93795353E-11
    2    1   -0.31984619E-12 -0.13141301E-11
    3    1    0.30699052E-02  0.12262119E-10
    4    1    0.11691236E-02  0.79647088E-11
    5    1    0.17345446E-02  0.57723548E-11
    6    1    0.94106615E-10 -0.38979809E-11
    7    1    0.22259647E-02 -0.11867954E-10
    8    1   -0.10858536E-02  0.14679247E-10
    1    2    0.38143521E-10  0.54846377E-11
    2    2    0.51849306E-03  0.17861424E-11
    3    2   -0.13366342E-10  0.12834372E-10
    4    2    0.51915802E-11  0.64167396E-11
    5    2    0.19678084E-10  0.35471772E-12
    6    2    0.54257209E-04 -0.10342144E-11
    7    2    0.14462079E-11  0.37347272E-11
    8    2    0.22763566E-10 -0.59537393E-12
    1    3    0.35281612E-02  0.56985692E-11
    2    3   -0.21521137E-10  0.97049506E-11
    3    3   -0.16552910E-02 -0.10501293E-10
    4    3    0.24066426E-02 -0.66931877E-11
    5    3   -0.22259639E-02  0.18074567E-10
    6    3   -0.21594143E-09 -0.71706062E-11
    7    3   -0.20567315E-02  0.10004650E-10
    8    3    0.97501221E-03 -0.36382841E-11
    1    4    0.17559907E-02 -0.26257468E-11
    2    4   -0.26518405E-10 -0.42799198E-11
    3    4    0.22488829E-02  0.28543552E-12
    4    4    0.20185050E-02 -0.32188176E-11
    5    4    0.10858534E-02  0.27123165E-11
    6    4    0.76801329E-10 -0.39688416E-11
    7    4    0.97501231E-03 -0.27140790E-11
    8    4   -0.67681859E-03  0.11028942E-10
    1    5    0.52713947E-03  0.35057773E-11
    2    5    0.48724730E-10  0.61636474E-11
    3    5   -0.12647214E-02  0.76594495E-11
    4    5    0.23799561E-03  0.32930603E-12
    5    5    0.50302144E-03  0.11434780E-10
    6    5   -0.14072450E-09  0.56572067E-11
    7    5   -0.35281608E-02 -0.43771965E-11
    8    5   -0.17559911E-02 -0.29073896E-11
    1    6    0.60030168E-10  0.90716734E-11
    2    6    0.54257206E-04 -0.45059789E-12
    3    6   -0.16052991E-09  0.26652605E-10
    4    6    0.45148896E-10  0.15474020E-10
    5    6   -0.14391249E-09  0.23048804E-10
    6    6    0.51849306E-03 -0.18502404E-11
    7    6   -0.23957805E-09 -0.99255930E-11
    8    6   -0.68305656E-10 -0.15495675E-10
    1    7    0.12647224E-02  0.32893115E-11
    2    7   -0.41077358E-11 -0.67915878E-11
    3    7   -0.41813451E-02  0.91878311E-11
    4    7    0.14280021E-03  0.15260945E-10
    5    7   -0.30699047E-02 -0.19593910E-11
    6    7   -0.23505264E-09  0.24737421E-11
    7    7   -0.16552924E-02  0.92489974E-11
    8    7    0.22488827E-02  0.67727464E-12
    1    8   -0.23799574E-03  0.15479742E-10
    2    8    0.27958392E-11 -0.19195895E-11
    3    8    0.14280039E-03 -0.10931880E-12
    4    8    0.45489875E-04 -0.20590890E-11
    5    8   -0.11691241E-02  0.55695552E-11
    6    8   -0.54774496E-10 -0.12861075E-11
    7    8    0.24066425E-02  0.21309099E-10
    8    8    0.20185048E-02 -0.15080333E-11

   -4   -3    0
    1    1   -0.63262902E-03 -0.85868396E-11
    2    1    0.45867704E-10  0.16430992E-10
    3    1   -0.12894947E-02  0.25162437E-11
    4    1    0.22956455E-02  0.73411624E-11
    5    1   -0.25201999E-02 -0.39148962E-11
    6    1   -0.41603291E-09  0.14609091E-10
    7    1   -0.72723398E-02 -0.19950708E-10
    8    1   -0.15676132E-02 -0.21173965E-11
    1    2   -0.13090785E-10 -0.54892567E-11
    2    2   -0.61519884E-03  0.26396055E-11
    3    2    0.10626583E-11 -0.11321211E-10
    4    2   -0.48949757E-10  0.93064292E-11
    5    2    0.14255542E-09  0.77184906E-12
    6    2   -0.44515678E-03  0.40798476E-11
    7    2    0.78635520E-10 -0.84568038E-11
    8    2    0.70892613E-11  0.26398425E-11
    1    3    0.17984137E-02 -0.71739038E-11
    2    3   -0.33842712E-10  0.18221828E-10
    3    3    0.71905859E-03  0.14735307E-10
    4    3   -0.11325417E-02 -0.18396953E-10
    5    3    0.72723383E-02 -0.28111248E-10
    6    3    0.89927219E-09  0.26367593E-10
    7    3    0.36383473E-02 -0.18004834E-11
    8    3   -0.20243361E-02 -0.81891091E-12
    1    4    0.31131849E-03  0.12225915E-11
    2    4   -0.22747032E-10  0.14222677E-10
    3    4   -0.11659866E-02 -0.54631258E-11
    4    4   -0.57331515E-03 -0.14084203E-10
    5    4    0.15676140E-02  0.57123750E-12
    6    4    0.57272555E-10  0.80761638E-11
    7    4   -0.20243359E-02  0.16578683E-11
    8    4   -0.11732948E-02  0.72005318E-11
    1    5    0.19856850E-03 -0.37078257E-11
    2    5   -0.99309420E-11 -0.60092188E-12
    3    5   -0.38188517E-02 -0.17877343E-10
    4    5   -0.20836440E-02 -0.44802356E-11
    5    5   -0.63262891E-03 -0.61841018E-11
    6    5    0.11887196E-10  0.12134072E-10
    7    5   -0.17984140E-02  0.13022540E-10
    8    5   -0.31131822E-03  0.31205871E-11
    1    6    0.22426164E-09 -0.28681282E-10
    2    6    0.25909929E-03  0.30624669E-11
    3    6   -0.22780663E-09 -0.13248193E-10
    4    6    0.17973277E-11 -0.53182941E-11
    5    6   -0.19702310E-09 -0.25632486E-10
    6    6   -0.61519883E-03 -0.27154251E-11
    7    6   -0.32762348E-09 -0.30093020E-11
    8    6   -0.36272394E-10  0.17053253E-10
    1    7    0.38188517E-02 -0.98017506E-11
    2    7   -0.20658047E-10 -0.18498183E-10
    3    7    0.25958459E-03  0.13105211E-10
    4    7    0.33034100E-02 -0.37343479E-11
    5    7    0.12894943E-02 -0.14547831E-10
    6    7    0.75993664E-10  0.39684309E-11
    7    7    0.71905840E-03 -0.11018566E-10
    8    7   -0.11659867E-02 -0.14842477E-10
    1    8    0.20836430E-02 -0.20523264E-10
    2    8   -0.11585213E-09 -0.28609308E-10
    3    8    0.33034103E-02 -0.26558597E-10
    4    8    0.31126089E-02 -0.32438774E-10
    5    8   -0.22956451E-02 -0.13585466E-10
    6    8   -0.42939219E-09 -0.21771296E-10
    7    8   -0.11325423E-02  0.19126803E-10
    8    8   -0.57331506E-03  0.28851591E-10

   -4   -2    0
    1    1    0.31216685E-02 -0.13079815E-10
    2    1    0.76443866E-10  0.71142016E-11
    3    1    0.61565030E-02  0.12627476E-10
    4    1    0.82440531E-02  0.21991228E-11
    5    1    0.56118660E-03 -0.82728616E-11
    6    1    0.32564901E-09 -0.11610558E-10
    7    1   -0.12325204E-02  0.22062165E-10
    8    1    0.22278804E-02 -0.16767782E-10
    1    2   -0.88393661E-10 -0.14133783E-11
    2    2    0.20516170E-02  0.76307190E-12
    3    2   -0.18783845E-09  0.23741690E-10
    4    2   -0.13888897E-09 -0.74659292E-11
    5    2    0.23450838E-10  0.15489627E-11
    6    2   -0.44515685E-03  0.10689782E-11
    7    2    0.19507256E-10  0.10354901E-10
    8    2    0.73027309E-10 -0.23896754E-10
    1    3   -0.71115236E-02  0.16000483E-10
    2    3    0.17398421E-09  0.12444211E-10
    3    3    0.59888861E-02 -0.21852379E-10
    4    3    0.50693657E-02  0.80862286E-11
    5    3    0.12325218E-02  0.21320312E-10
    6    3    0.14561761E-09 -0.60076323E-11
    7    3   -0.53876078E-02 -0.11847759E-10
    8    3   -0.38103050E-04 -0.24378645E-10
    1    4   -0.18010974E-02  0.97289052E-11
    2    4    0.61337108E-10  0.13872187E-10
    3    4   -0.65905531E-02 -0.11211528E-10
    4    4    0.37345011E-02 -0.11407979E-10
    5    4   -0.22278802E-02 -0.32772118E-11
    6    4    0.51838076E-09  0.61752266E-11
    7    4   -0.38103379E-04  0.28472025E-11
    8    4    0.94652715E-02 -0.31342998E-10
    1    5   -0.11876542E-02  0.52647608E-11
    2    5    0.12099873E-09 -0.15543551E-10
    3    5    0.92279568E-04  0.17491611E-11
    4    5   -0.40290384E-02  0.20691115E-10
    5    5    0.31216685E-02  0.74729320E-11
    6    5    0.22787788E-09 -0.16576842E-10
    7    5    0.71115229E-02 -0.32395892E-10
    8    5    0.18010986E-02 -0.12467770E-10
    1    6    0.17946568E-09  0.30076219E-10
    2    6   -0.96398155E-03 -0.21567331E-11
    3    6   -0.13219132E-08  0.30998528E-10
    4    6   -0.12839874E-08  0.47164556E-11
